seq,timestamp,angle,torque,speed
61951,1475186965539079525,-0.0471238903701,-0.5625,14.6138887405
61952,1475186965559600255,-0.045378562063,-0.5625,14.6138887405
61953,1475186965579162515,-0.045378562063,-0.5,14.6083335876
61954,1475186965599323214,-0.045378562063,-0.625,14.6055555344
61955,1475186965619197024,-0.0471238903701,-0.75,14.6083335876
61956,1475186965639366603,-0.0471238903701,-0.625,14.6138887405
61957,1475186965659456415,-0.0471238903701,-0.5625,14.6166667938
61958,1475186965679364457,-0.045378562063,-0.4375,14.6166667938
61959,1475186965699477537,-0.0436332300305,-0.3125,14.6138887405
61960,1475186965719584256,-0.0436332300305,-0.25,14.6138887405
61961,1475186965739645329,-0.0418879017234,-0.1875,14.6166667938
61962,1475186965759472326,-0.0401425734162,0.0,14.625
61963,1475186965779624732,-0.0401425734162,-0.1875,14.6333332062
61964,1475186965799557778,-0.0366519130766,-0.5,14.625
61965,1475186965819655535,-0.0366519130766,-0.4375,14.6111106873
61966,1475186965839583372,-0.0366519130766,-0.25,14.6111106873
61967,1475186965859648407,-0.0349065847695,-0.1875,14.6083335876
61968,1475186965879643540,-0.0349065847695,-0.1875,14.5944442749
61969,1475186965899670930,-0.0349065847695,-0.25,14.5749998093
61970,1475186965919711486,-0.0349065847695,-0.1875,14.5694446564
61971,1475186965939721334,-0.0349065847695,-0.0625,14.572221756
61972,1475186965959824629,-0.0314159281552,-0.1875,14.5611114502
61973,1475186965979838659,-0.0296705979854,-0.0625,14.5388889313
61974,1475186965999836264,-0.0261799395084,-0.0625,14.5249996185
61975,1475186966019895930,-0.0261799395084,-0.1875,14.5194444656
61976,1475186966039922176,-0.0261799395084,-0.0625,14.5111112595
61977,1475186966059940253,-0.0261799395084,-0.125,14.5055551529
61978,1475186966079986349,-0.0244346093386,-0.25,14.4972219467
61979,1475186966100010383,-0.0226892810315,-0.25,14.4861106873
61980,1475186966120042533,-0.0209439508617,-0.1875,14.4833335876
61981,1475186966140077635,-0.0209439508617,0.0,14.4833335876
61982,1475186966160094322,-0.0191986225545,-0.1875,14.4777774811
61983,1475186966180121376,-0.0157079640776,-0.125,14.4694442749
61984,1475186966200173631,-0.0122173046693,-0.0625,14.463889122
61985,1475186966220209255,-0.0104719754308,-0.0625,14.463889122
61986,1475186966240231469,-0.0069813169539,-0.125,14.4611110687
61987,1475186966260249613,-0.00523598771542,-0.0625,14.4583330154
61988,1475186966280301714,-0.00523598771542,0.0,14.4583330154
